id,build_name,cpu_id,gpu_id,ram_id,motherboard_id,bottleneck_percentage,user_id,created_at
10,Build 1,410,457,539,493,1,734694fc-3595-4d2e-9ee0-48f344520386,2026-03-10 18:19:17.396313+00
11,Build 1,370,412,517,467,11,15354e28-97cd-45da-a5af-1752d9323ce0,2026-03-10 19:59:43.080837+00
12,Build 2,409,455,537,489,9,bf0d32c1-e33c-4469-b231-cc714f6cc3e1,2026-03-10 22:09:52.304803+00
13,Build 1,410,454,540,497,11,e54e98f8-bff7-4f55-96da-20f0a0087143,2026-03-19 18:38:26.337408+00
